Altium Designer Pick and Place Locations
C:\Users\Wim\SynologyDrive\Drive\Electronics\RICK_TNY_00\.\OUTPUT\Pick Place\Pick Place for RICK_TNY_00.csv

========================================================================================================================
File Design Information:

Date:       25/06/24
Time:       21:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Supplier 1","Supplier 2","Supplier 3","Supplier Part Number 1","Supplier Part Number 2","Supplier Part Number 3","Value"
"D2","40V 1A 550mV@700mA 0603 Schottky","TopLayer","ON_DSN2","140.000","109.783","90","=Description","LCSC","LCSC","","C3758192","C153761","","CDBVRL140-HF"
"C20","CAP_CERAMIC","TopLayer","C0402","377.953","314.961","270","Capacitor Ceramic","Farnell","","Generic","1758896","","100nF 16V 0402 X7R","100nF 16V"
"R5","RESISTOR","TopLayer","R0402","413.386","314.961","270","","","","Generic","","","27R 1% 0402","27R"
"R4","RESISTOR","TopLayer","R0402","444.882","314.961","270","","","","Generic","","","27R 1% 0402","27R"
"R8","RESISTOR","TopLayer","R0402","137.795","500.000","0","","LCSC","LCSC","Generic","C2909333","C114764","200R 1% 0402","200R"
"R7","RESISTOR","TopLayer","R0402","137.795","405.512","0","","LCSC","LCSC","Generic","C2906862","C138066","10R 1% 0402","10R"
"L1","LQM21PN3R3MGRD","TopLayer","L0805","259.842","314.961","0","","LCSC","","","C162585","","","3u3H"
"C19","CAP_CERAMIC","TopLayer","C0402","137.795","468.504","180","Capacitor Ceramic","LCSC","","Generic","C12530","","2u2F 6V3 0402 X5R","2u2F 6V3"
"C18","CAP_CERAMIC","TopLayer","C0402","342.520","314.961","270","Capacitor Ceramic","LCSC","LCSC","Generic","C15525","C87148","10uF 6V3 0402 X5R","10uF 6V3"
"C17","CAP_CERAMIC","TopLayer","C0402","137.795","342.520","180","Capacitor Ceramic","LCSC","LCSC","Generic","C15525","C87148","10uF 6V3 0402 X5R","10uF 6V3"
"C16","CAP_CERAMIC","TopLayer","C0402","137.795","374.016","180","Capacitor Ceramic","LCSC","","Generic","C12530","","2u2F 6V3 0402 X5R","2u2F 6V3"
"C15","CAP_CERAMIC","TopLayer","C0402","374.016","692.913","180","Capacitor Ceramic","Farnell","","Generic","1758896","","100nF 16V 0402 X7R","100nF 16V"
